x_over_lstar,density_mean_2pi_rho_lstar2,density_stderr
-5.3037246,0,0
-5.2037246,0,0
-5.1037246,0,0
-5.0037246,0,0
-4.9037246,0,0
-4.8037246,2.2376016e-05,2.2376016e-05
-4.7037246,8.9504064e-05,4.1067281e-05
-4.6037246,4.4752032e-05,3.0800461e-05
-4.5037246,2.2376016e-05,2.2376016e-05
-4.4037246,4.4752032e-05,4.4752032e-05
-4.3037246,4.4752032e-05,3.0800461e-05
-4.2037246,0.00015663211,6.7128048e-05
-4.1037246,0.00015663211,6.7128048e-05
-4.0037246,0.00017900813,5.9865335e-05
-3.9037246,0.00051464837,0.00015323036
-3.8037246,0.00064890447,0.00015391672
-3.7037246,0.0010964248,0.00025866479
-3.6037246,0.0016334492,0.00034093728
-3.5037246,0.0021704736,0.00047191091
-3.4037246,0.0031102662,0.00071535134
-3.3037246,0.0048108435,0.00094425448
-3.2037246,0.0054597479,0.001078065
-3.1037246,0.0085476381,0.0018172272
-3.0037246,0.010986624,0.0022452376
-2.9037246,0.014812923,0.0029535449
-2.8037246,0.020295047,0.0040582229
-2.7037246,0.025956179,0.0053066651
-2.6037246,0.03611489,0.007203336
-2.5037246,0.046295977,0.0091634736
-2.4037246,0.057976258,0.01172179
-2.3037246,0.072408788,0.014449892
-2.2037246,0.090376729,0.018215361
-2.1037246,0.11096266,0.022286391
-2.0037246,0.13694122,0.027068039
-1.9037246,0.17021435,0.034192262
-1.8037246,0.20212255,0.040281909
-1.7037246,0.23942337,0.04742712
-1.6037246,0.28681577,0.057057949
-1.5037246,0.32982248,0.065711989
-1.4037246,0.37936298,0.07595052
-1.3037246,0.43523589,0.087134302
-1.2037246,0.487193,0.097469232
-1.1037246,0.54686983,0.10969649
-1.0037246,0.60909753,0.12232143
-0.90372465,0.67016168,0.13361965
-0.80372465,0.72614647,0.14418384
-0.70372465,0.78524153,0.15619831
-0.60372465,0.84136058,0.16800139
-0.50372465,0.87823625,0.17533512
-0.40372465,0.90385679,0.1802775
-0.30372465,0.94693062,0.18806556
-0.20372465,0.97369234,0.19482148
-0.10372465,0.97443075,0.19391846
-0.003724647,0.98691656,0.19704667
0.096275353,0.97639984,0.19522165
0.19627535,0.96601736,0.1923328
0.29627535,0.93974792,0.18773629
0.39627535,0.89036405,0.17718706
0.49627535,0.86745101,0.17279468
0.59627535,0.81679171,0.16275672
0.69627535,0.7591511,0.15122628
0.79627535,0.69524519,0.13857299
0.89627535,0.64006594,0.12772041
0.99627535,0.57877803,0.11541189
1.0962754,0.52523222,0.1051557
1.1962754,0.45987188,0.091818783
