r_over_lB,density_mean_2pi_rho_lB2,density_stderr,Q_mean,Q_stderr
0.30827209,0.58356524,0.0021358954,0.047591654,0.00040622634
0.74430742,0.51777589,0.0015286116,0.08267082,0.00049954178
0.97015652,0.45870379,0.0017287346,0.10651505,0.00059803325
1.1509743,0.41014499,0.0015197997,0.12112387,0.00066422454
1.3066312,0.36700522,0.0013744369,0.12752794,0.00071381126
1.4455185,0.32950722,0.0010468719,0.12680025,0.00074105952
1.5721702,0.29888968,0.0009254962,0.1202494,0.00076167734
1.6893761,0.27499432,0.0013082734,0.1091539,0.00080128905
1.7990011,0.25209467,0.0010187262,0.093703099,0.0008243809
1.902366,0.23695387,0.00096433629,0.075372671,0.00084453662
2.0004471,0.22193676,0.00099984834,0.054186135,0.00086568091
2.0939907,0.21239838,0.00096490616,0.031185493,0.0008849189
2.1835824,0.20306046,0.0009104949,0.0064088715,0.00090170302
2.2696918,0.19863621,0.00091543139,-0.0192092,0.00091835791
2.3527026,0.19669061,0.00098863143,-0.045197305,0.00093740908
2.4329327,0.19476446,0.00067407794,-0.071551745,0.00094613519
2.5106494,0.19678476,0.00091669468,-0.097521945,0.00096206468
2.5860798,0.19682181,0.00085766434,-0.1234851,0.00097579525
2.6594189,0.19813808,0.00084136236,-0.14919791,0.0009888288
2.7308355,0.20241667,0.00074804125,-0.17409697,0.0009990111
2.800477,0.20792198,0.00080148548,-0.19794898,0.0010105739
2.8684728,0.21280693,0.001171234,-0.22087192,0.0010348335
2.9349376,0.21802002,0.00077827989,-0.24280338,0.0010453662
2.9999733,0.22571048,0.00097783191,-0.26327219,0.0010617801
3.063671,0.22943269,0.00085713034,-0.28303307,0.0010742214
3.1261128,0.23575541,0.00091461987,-0.30159144,0.0010882146
3.1873724,0.24317331,0.00094088116,-0.31873899,0.0011028294
3.247517,0.24967175,0.00093250227,-0.3346506,0.001116999
3.3066075,0.25365116,0.0011373085,-0.34980537,0.0011377498
3.3646996,0.26200448,0.0011779103,-0.36337142,0.0011595959
3.4218441,0.26884444,0.0011659649,-0.37563657,0.0011806091
3.4780878,0.27431112,0.0010304506,-0.38686202,0.0011967651
3.533474,0.28130899,0.00091126724,-0.39675654,0.0012092496
3.5880423,0.28645512,0.0010268751,-0.40567232,0.0012249193
3.6418296,0.29098211,0.0011018901,-0.41372711,0.0012427173
3.69487,0.29822632,0.0012219443,-0.42040412,0.0012642614
3.7471955,0.30144118,0.0010675036,-0.42646969,0.0012804599
3.7988355,0.30733413,0.001267189,-0.43141449,0.0013029435
3.8498178,0.31244829,0.0011707671,-0.43538661,0.0013218332
3.9001682,0.31599528,0.0011705784,-0.43868414,0.0013404508
3.9499108,0.31897844,0.0011937141,-0.4414143,0.0013595412
3.9990686,0.32296705,0.0011428763,-0.44338587,0.0013768076
4.0476628,0.32850227,0.00098652742,-0.44430469,0.0013895335
4.0957135,0.33246173,0.0011411402,-0.44447046,0.0014063808
4.1432398,0.33302411,0.0011741461,-0.44452927,0.0014239996
4.1902595,0.3377992,0.0011575994,-0.44367991,0.0014409188
4.2367896,0.33920128,0.0013077353,-0.44256388,0.001462227
4.282846,0.34070419,0.0010373147,-0.44116201,0.0014754762
4.328444,0.34467469,0.0010971114,-0.439005,0.0014901574
4.3735979,0.34449274,0.0011932877,-0.43688259,0.0015073407
4.4183214,0.34657895,0.0015051489,-0.4343634,0.0015342827
4.4626275,0.34624156,0.0013794133,-0.43190839,0.0015565511
4.5065286,0.34817419,0.0011274907,-0.4290858,0.0015712527
4.5500365,0.35161023,0.0013674496,-0.42560971,0.0015926312
4.5931623,0.35176884,0.0010864168,-0.42210346,0.001605979
4.6359168,0.352072,0.0012168108,-0.41853955,0.0016225678
