x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-25.237302,0,0
-25.137302,0,0
-25.037302,0,0
-24.937302,0,0
-24.837302,0,0
-24.737302,0,0
-24.637302,0,0
-24.537302,0,0
-24.437302,0,0
-24.337302,0,0
-24.237302,0,0
-24.137302,0,0
-24.037302,0,0
-23.937302,0,0
-23.837302,0,0
-23.737302,0,0
-23.637302,0,0
-23.537302,0,0
-23.437302,0,0
-23.337302,0,0
-23.237302,0,0
-23.137302,0,0
-23.037302,0,0
-22.937302,0,0
-22.837302,0,0
-22.737302,0,0
-22.637302,0,0
-22.537302,0,0
-22.437302,0,0
-22.337302,0,0
-22.237302,0,0
-22.137302,1.2173672e-05,1.2173672e-05
-22.037302,0,0
-21.937302,4.4636796e-05,4.4636796e-05
-21.837302,1.2173672e-05,1.2173672e-05
-21.737302,1.6231562e-05,1.1354691e-05
-21.637302,8.5215701e-05,5.0859002e-05
-21.537302,7.709992e-05,3.5627518e-05
-21.437302,8.115781e-05,2.7098611e-05
-21.337302,0.00012173672,3.5097471e-05
-21.237302,0.00023129976,5.3986722e-05
-21.137302,0.00030434179,6.3505e-05
-21.037302,0.00060868358,9.6282269e-05
-20.937302,0.00089273591,0.00010452431
-20.837302,0.0012376566,9.555724e-05
-20.737302,0.0017083719,0.0001406579
-20.637302,0.002706613,0.00018045895
-20.537302,0.0039077486,0.00020556637
-20.437302,0.0055146732,0.00023764713
-20.337302,0.0082091125,0.00032315962
-20.237302,0.011029346,0.00031497089
-20.137302,0.014328411,0.0004213256
-20.037302,0.01883267,0.00047725501
-19.937302,0.0255079,0.00054650291
-19.837302,0.033708896,0.00060837354
-19.737302,0.042104672,0.00067024045
-19.637302,0.052314324,0.00069292742
-19.537302,0.065181895,0.00086118435
-19.437302,0.081673162,0.00089276083
-19.337302,0.098562103,0.0010548707
-19.237302,0.11674198,0.0010867148
-19.137302,0.13889348,0.00098109932
-19.037302,0.16095217,0.0015628888
-18.937302,0.18717426,0.0014527827
-18.837302,0.20963023,0.0016948172
-18.737302,0.23601503,0.001531681
-18.637302,0.26616077,0.0020319936
-18.537302,0.28324482,0.0018291152
-18.437302,0.31050834,0.0021690103
