x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-35.343886,0,0
-35.243903,0,0
-35.14392,0,0
-35.043937,0,0
-34.943955,0,0
-34.843972,0,0
-34.743989,0,0
-34.644007,0,0
-34.544024,0,0
-34.444041,0,0
-34.344059,0,0
-34.244076,0,0
-34.144093,0,0
-34.04411,0,0
-33.944128,0,0
-33.844145,0,0
-33.744162,0,0
-33.64418,0,0
-33.544197,0,0
-33.444214,0,0
-33.344231,0,0
-33.244249,0,0
-33.144266,0,0
-33.044283,0,0
-32.944301,0,0
-32.844318,0,0
-32.744335,0,0
-32.644353,0,0
-32.54437,1.6365292e-07,1.6365292e-07
-32.444387,0,0
-32.344404,9.8191755e-07,5.0299808e-07
-32.244422,8.1826462e-07,6.7137178e-07
-32.144439,2.5366203e-06,1.3959569e-06
-32.044456,3.7592321e-06,1.5191828e-06
-31.944474,1.1547341e-05,3.0259803e-06
-31.844491,1.668877e-05,3.0186775e-06
-31.744508,3.5018855e-05,6.801545e-06
-31.644526,4.0690481e-05,5.4677337e-06
-31.544543,8.5775426e-05,8.7900207e-06
-31.44456,0.00010310254,8.1847933e-06
-31.344577,0.00017693944,1.3313276e-05
-31.244595,0.00031437033,1.3665054e-05
-31.144612,0.00045558582,2.0084834e-05
-31.044629,0.0007457525,2.5062343e-05
-30.944647,0.0011256819,2.8293482e-05
-30.844664,0.0016734555,2.9340633e-05
-30.744681,0.0024436183,4.2961249e-05
-30.644699,0.0035057983,5.0138554e-05
-30.544716,0.0051842926,6.0222837e-05
-30.444733,0.0070220111,7.3355165e-05
-30.34475,0.0098378115,7.9570179e-05
-30.244768,0.013421323,9.8592715e-05
-30.144785,0.017982898,9.8183124e-05
-30.044802,0.02368376,0.00013348844
-29.94482,0.030801611,0.00017370495
-29.844837,0.039599763,0.00015279327
-29.744854,0.050437346,0.00018245456
-29.644871,0.062584336,0.00027850642
-29.544889,0.07707861,0.00027524114
-29.444906,0.093462017,0.00030641296
-29.344923,0.11219124,0.00034012262
-29.244941,0.13239006,0.00029071182
-29.144958,0.15510656,0.00033182063
-29.044975,0.17828647,0.00038412006
-28.944993,0.20321517,0.00040787713
-28.84501,0.22848273,0.00037719545
-28.745027,0.25340339,0.00043889159
-28.645044,0.27959467,0.00044411257
-28.545062,0.30429273,0.00047070694
-28.445079,0.32623479,0.0004921668
-28.345096,0.34765589,0.0005008713
-28.245114,0.36637022,0.00061008747
-28.145131,0.3832083,0.00062080305
-28.045148,0.39674893,0.00062226719
-27.945166,0.40757107,0.00063016344
-27.845183,0.41541283,0.00057421675
-27.7452,0.42040602,0.00059181832
-27.645217,0.4215521,0.00056840663
