x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-26.198457,0,0
-26.098457,0,0
-25.998457,0,0
-25.898457,0,0
-25.798457,0,0
-25.698457,0,0
-25.598457,0,0
-25.498457,0,0
-25.398457,0,0
-25.298457,0,0
-25.198457,0,0
-25.098457,0,0
-24.998457,0,0
-24.898457,0,0
-24.798457,0,0
-24.698457,0,0
-24.598457,0,0
-24.498457,0,0
-24.398457,0,0
-24.298457,0,0
-24.198457,0,0
-24.098457,0,0
-23.998457,0,0
-23.898457,0,0
-23.798457,0,0
-23.698457,0,0
-23.598457,0,0
-23.498457,0,0
-23.398457,0,0
-23.298457,0,0
-23.198457,0,0
-23.098457,0,0
-22.998457,0,0
-22.898457,1.0304424e-05,7.2679976e-06
-22.798457,7.7283179e-06,7.7283179e-06
-22.698457,7.7283179e-06,5.7487578e-06
-22.598457,2.576106e-05,1.2519475e-05
-22.498457,4.1217696e-05,1.564961e-05
-22.398457,2.576106e-05,1.016759e-05
-22.298457,5.4098225e-05,1.5665584e-05
-22.198457,0.00020866458,5.101443e-05
-22.098457,0.00021124069,3.7813277e-05
-21.998457,0.00036580705,5.4734656e-05
-21.898457,0.00054613447,6.7507424e-05
-21.798457,0.00096346364,8.2262877e-05
-21.698457,0.0012358397,9.7951631e-05
-21.598457,0.0017569043,0.0001119889
-21.498457,0.0029676741,0.00015310266
-21.398457,0.0039800837,0.00016680837
-21.298457,0.005785934,0.0002097998
-21.198457,0.0083182462,0.00024536859
-21.098457,0.011909338,0.00028153993
-20.998457,0.015551952,0.00035259565
-20.898457,0.021618681,0.00039410804
-20.798457,0.027376278,0.00044491742
-20.698457,0.035909881,0.00051034614
-20.598457,0.04593197,0.00056101552
-20.498457,0.059113904,0.00066520597
-20.398457,0.072842004,0.00067589108
-20.298457,0.088937483,0.00075465485
-20.198457,0.10845142,0.00089472438
-20.098457,0.1295961,0.0010197982
-19.998457,0.15219521,0.0010107935
-19.898457,0.17728413,0.0011703715
-19.798457,0.20112058,0.0012070347
-19.698457,0.22919555,0.0013709603
-19.598457,0.25546162,0.0014275559
-19.498457,0.28203852,0.0014486027
-19.398457,0.30686376,0.0016107797
-19.298457,0.33297973,0.0016857535
-19.198457,0.35265094,0.0018407918
-19.098457,0.37533233,0.0016187967
-18.998457,0.38897777,0.0018089392
-18.898457,0.40680885,0.0018165217
-18.798457,0.41912889,0.0017225753
-18.698457,0.42662118,0.0018666688
-18.598457,0.43921451,0.0019734416
-18.498457,0.44182231,0.0018783038
-18.398457,0.44691631,0.0019816096
-18.298457,0.44835642,0.0018065793
-18.198457,0.44868811,0.0019528271
-18.098457,0.45063944,0.0018830591
-17.998457,0.4482158,0.0018550785
-17.898457,0.4455587,0.0017807743
-17.798457,0.45053244,0.0019482578
-17.698457,0.44687365,0.0020738568
-17.598457,0.44801785,0.0017098814
-17.498457,0.4531012,0.0019418924
-17.398457,0.45062066,0.0019138124
-17.298457,0.4513064,0.0020191998
-17.198457,0.4548729,0.0018130947
-17.098457,0.45152474,0.0019291892
-16.998457,0.44897654,0.0019348121
-16.898457,0.45414879,0.0018657512
-16.798457,0.45495684,0.0018971524
-16.698457,0.45475339,0.0017552033
-16.598457,0.45398433,0.0019206158
-16.498457,0.45388336,0.0019936766
-16.398457,0.45259945,0.0018690805
-16.298457,0.45127694,0.0020470834
-16.198457,0.44648334,0.0019766422
-16.098457,0.44777463,0.0020450001
-15.998457,0.44259031,0.0019425261
-15.898457,0.43502768,0.0019280807
-15.798457,0.43236725,0.0016050447
-15.698457,0.4241304,0.0019940239
-15.598457,0.42503377,0.0018543798
-15.498457,0.41683958,0.0017010007
-15.398457,0.41730093,0.0016604952
-15.298457,0.41329178,0.0017366964
-15.198457,0.40727928,0.0020046122
-15.098457,0.4040702,0.0017503869
-14.998457,0.4017016,0.0018440931
-14.898457,0.40000168,0.0019816327
-14.798457,0.39795748,0.0019071675
-14.698457,0.39625945,0.00170765
