x_over_lstar,density_mean_2pi_rho_lstar2,density_stderr
-5,0,0
-4.95,0,0
-4.9,1.6755161e-05,1.7041595e-05
-4.85,8.3775804e-06,8.5207973e-06
-4.8,2.5132741e-05,1.8788443e-05
-4.75,0,0
-4.7,0,0
-4.65,0,0
-4.6,5.8643063e-05,4.5337004e-05
-4.55,1.6755161e-05,1.7041595e-05
-4.5,5.8643063e-05,3.3972828e-05
-4.45,5.8643063e-05,3.6116038e-05
-4.4,6.7020643e-05,2.9854255e-05
-4.35,0.00015917403,7.4029381e-05
-4.3,0.00020106193,7.0832096e-05
-4.25,0.00010890855,5.5740021e-05
-4.2,0.00015917403,4.5004454e-05
-4.15,0.00014241887,5.8372769e-05
-4.1,0.00020106193,5.3983088e-05
-4.05,0.00023457225,8.5735219e-05
-4,0.00041887902,9.2802667e-05
-3.95,0.0004691445,0.00010736158
-3.9,0.00045238934,0.00011971017
-3.85,0.00052778757,0.00011778102
-3.8,0.0004272566,0.00011309651
-3.75,0.00073722708,0.00017155802
-3.7,0.00087126836,0.00017918143
-3.65,0.0011393509,0.00014539697
-3.6,0.0014074335,0.00016148483
-3.55,0.0019268435,0.00023870821
-3.5,0.0022787019,0.00030907413
-3.45,0.0022535691,0.00026442891
-3.4,0.002756224,0.00029196676
-3.35,0.0033929201,0.00034508413
-3.3,0.0039709731,0.00030601327
-3.25,0.0045657813,0.00035354139
-3.2,0.005889439,0.00050424862
-3.15,0.0065764006,0.00043730584
-3.1,0.0081011203,0.00043534348
-3.05,0.0083440701,0.00041225407
-3,0.010564129,0.0005605109
-2.95,0.012105604,0.00057696558
-2.9,0.01357168,0.00062985569
-2.85,0.015481769,0.00053516371
-2.8,0.018933332,0.00059582586
-2.75,0.02108637,0.00073988956
-2.7,0.025166252,0.00077026603
-2.65,0.027754924,0.00082669906
-2.6,0.031675632,0.00074122155
-2.55,0.03438159,0.00083875956
-2.5,0.039969436,0.0011717675
-2.45,0.046981471,0.0013829422
-2.4,0.051631028,0.0012882272
-2.35,0.056490025,0.0013756864
-2.3,0.068595628,0.0013855467
-2.25,0.0716702,0.0014862457
-2.2,0.083423946,0.0016760559
-2.15,0.093426777,0.0017806547
-2.1,0.10349663,0.0016480139
-2.05,0.11708506,0.0018525456
-2,0.12956766,0.0021480849
-1.95,0.14201674,0.0018276554
-1.9,0.15190229,0.0021215883
-1.85,0.16822181,0.0017828214
-1.8,0.187884,0.0018526247
-1.75,0.20114571,0.0026988297
-1.7,0.2288001,0.0024548429
-1.65,0.23999255,0.0023890641
-1.6,0.26117107,0.0024977185
-1.55,0.28523148,0.0021537981
-1.5,0.30969402,0.0029857865
-1.45,0.33426546,0.0037335056
-1.4,0.36010192,0.0026543834
-1.35,0.38456445,0.0032997886
-1.3,0.41517613,0.0032110368
-1.25,0.44057695,0.0037785379
-1.2,0.46339748,0.0033305476
-1.15,0.50142332,0.0040223096
-1.1,0.52809754,0.0041314161
-1.05,0.55798037,0.0035918641
-1,0.59578001,0.0044071792
-0.95,0.61883511,0.0037661924
-0.9,0.64797233,0.0040938813
-0.85,0.67406012,0.0041439649
-0.8,0.70246849,0.0050555641
-0.75,0.73178165,0.0040017916
-0.7,0.76000572,0.0052735048
-0.65,0.7876266,0.0042379575
-0.6,0.81351332,0.0046245097
-0.55,0.83433161,0.0046899921
-0.5,0.85551013,0.0050133292
-0.45,0.89514447,0.0042284404
-0.4,0.90070718,0.0050260611
-0.35,0.91955674,0.0044415498
-0.3,0.92492677,0.0043265023
-0.25,0.94680063,0.0056479596
-0.2,0.96962116,0.0049658754
-0.15,0.97931402,0.005884607
-0.1,0.97805738,0.0051598677
-0.05,0.99177986,0.0034456373
