x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-26.198457,0,0
-26.098457,0,0
-25.998457,0,0
-25.898457,0,0
-25.798457,0,0
-25.698457,0,0
-25.598457,0,0
-25.498457,0,0
-25.398457,0,0
-25.298457,0,0
-25.198457,0,0
-25.098457,0,0
-24.998457,0,0
-24.898457,0,0
-24.798457,0,0
-24.698457,0,0
-24.598457,0,0
-24.498457,0,0
-24.398457,0,0
-24.298457,0,0
-24.198457,0,0
-24.098457,0,0
-23.998457,0,0
-23.898457,0,0
-23.798457,0,0
-23.698457,0,0
-23.598457,0,0
-23.498457,0,0
-23.398457,0,0
-23.298457,0,0
-23.198457,0,0
-23.098457,0,0
-22.998457,2.576106e-06,2.576106e-06
-22.898457,7.7283179e-06,7.7283179e-06
-22.798457,0,0
-22.698457,1.0304424e-05,8.1340722e-06
-22.598457,7.7283179e-06,5.7487578e-06
-22.498457,3.0913272e-05,1.7378224e-05
-22.398457,2.3184954e-05,9.1653968e-06
-22.298457,6.6978755e-05,1.8374404e-05
-22.198457,0.00010819645,2.6736777e-05
-22.098457,0.00022412122,4.1894595e-05
-21.998457,0.00040187253,5.683533e-05
-21.898457,0.00048946014,5.2388638e-05
-21.798457,0.00074191852,7.649293e-05
-21.698457,0.0013112379,9.0559336e-05
-21.598457,0.0019150835,0.00011520482
-21.498457,0.0026868785,0.00014304165
-21.398457,0.0043124014,0.00018375529
-21.298457,0.0058657933,0.00020845928
-21.198457,0.0082229303,0.00022921939
-21.098457,0.011231822,0.00028539449
-20.998457,0.015693638,0.0003657022
-20.898457,0.020897372,0.00038631042
-20.798457,0.028432482,0.00044462351
-20.698457,0.036384921,0.00049575345
-20.598457,0.046503771,0.00058172283
-20.498457,0.057444587,0.00065897562
-20.398457,0.072950169,0.00071400662
-20.298457,0.089700136,0.00085282754
-20.198457,0.10893934,0.00095004396
-20.098457,0.13029498,0.0010178141
-19.998457,0.15242166,0.001122419
-19.898457,0.17715947,0.0012531883
-19.798457,0.20092021,0.0011337747
-19.698457,0.22990788,0.0012882956
-19.598457,0.25546316,0.0013701985
-19.498457,0.28122139,0.0014344779
-19.398457,0.30576295,0.0014995878
-19.298457,0.32984461,0.0017351773
-19.198457,0.35355327,0.0018047871
-19.098457,0.37305797,0.0017405394
-18.998457,0.39287159,0.0016761074
-18.898457,0.4029714,0.0018799866
-18.798457,0.41933215,0.0019709667
-18.698457,0.42909883,0.0019588149
-18.598457,0.43723006,0.0019428848
-18.498457,0.4421213,0.0017928652
-18.398457,0.44525108,0.002135889
-18.298457,0.44721332,0.0017930024
-18.198457,0.44642845,0.0019960658
-18.098457,0.45026757,0.0018066993
-17.998457,0.45321109,0.0019106576
-17.898457,0.44840379,0.0018004505
-17.798457,0.44978,0.0019138322
-17.698457,0.45198932,0.0018521588
-17.598457,0.45225045,0.0017383911
-17.498457,0.45072292,0.001818027
-17.398457,0.45052072,0.0018503038
-17.298457,0.45334269,0.0016107302
-17.198457,0.45311989,0.0017772952
-17.098457,0.45552883,0.0019473447
-16.998457,0.45096984,0.0018980189
-16.898457,0.4563491,0.0020828141
-16.798457,0.4562573,0.0019021053
-16.698457,0.45386658,0.0019072964
-16.598457,0.45337762,0.0018197577
-16.498457,0.45326371,0.0019408736
-16.398457,0.45155512,0.001911616
-16.298457,0.45051987,0.0017489426
-16.198457,0.4445363,0.0019874337
-16.098457,0.44515576,0.0019941889
-15.998457,0.43837441,0.0018820902
-15.898457,0.43433272,0.0017249819
-15.798457,0.42759938,0.0016625308
-15.698457,0.42483544,0.0019711327
-15.598457,0.42439131,0.0017881129
-15.498457,0.41997461,0.0019592983
-15.398457,0.41399672,0.0019367948
-15.298457,0.40621619,0.0018555365
-15.198457,0.40175664,0.0017492002
-15.098457,0.40241958,0.0017839491
-14.998457,0.39954885,0.0018254733
-14.898457,0.39660782,0.0017535288
-14.798457,0.39952834,0.00176786
-14.698457,0.39336205,0.0018347104
