x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-25.237302,0,0
-25.137302,0,0
-25.037302,0,0
-24.937302,0,0
-24.837302,0,0
-24.737302,0,0
-24.637302,0,0
-24.537302,0,0
-24.437302,0,0
-24.337302,0,0
-24.237302,0,0
-24.137302,0,0
-24.037302,0,0
-23.937302,0,0
-23.837302,0,0
-23.737302,0,0
-23.637302,0,0
-23.537302,0,0
-23.437302,0,0
-23.337302,0,0
-23.237302,0,0
-23.137302,0,0
-23.037302,0,0
-22.937302,0,0
-22.837302,0,0
-22.737302,0,0
-22.637302,0,0
-22.537302,0,0
-22.437302,0,0
-22.337302,0,0
-22.237302,0,0
-22.137302,0,0
-22.037302,2.4347343e-05,2.4347343e-05
-21.937302,2.8405234e-05,2.1691491e-05
-21.837302,0,0
-21.737302,3.6521015e-05,2.2202324e-05
-21.637302,8.115781e-06,5.6773453e-06
-21.537302,2.0289453e-05,1.0438344e-05
-21.437302,9.7389372e-05,2.8997264e-05
-21.337302,0.00011767882,3.2154074e-05
-21.237302,0.0001704314,4.9423112e-05
-21.137302,0.00034492069,6.0891377e-05
-21.037302,0.00055998889,8.193972e-05
-20.937302,0.00059650991,9.0107568e-05
-20.837302,0.0014202617,0.00015998065
-20.737302,0.001890977,0.00014739721
-20.637302,0.0029947232,0.00019292444
-20.537302,0.0036967383,0.00018894912
-20.437302,0.0053198945,0.00025793918
-20.337302,0.0076815867,0.00034280144
-20.237302,0.010540763,0.00036669553
-20.137302,0.015014195,0.00045987259
-20.037302,0.019412948,0.00047556691
-19.937302,0.025000663,0.00045047562
-19.837302,0.032718771,0.00070368394
-19.737302,0.042323798,0.00060472911
-19.637302,0.053864439,0.00089352909
-19.537302,0.06538479,0.0009775847
-19.437302,0.081040982,0.0010301144
-19.337302,0.098160371,0.00097429008
-19.237302,0.11919648,0.0013279095
-19.137302,0.14016549,0.0012666613
-19.037302,0.1601203,0.0014280015
-18.937302,0.18336632,0.0017107176
-18.837302,0.21247782,0.0017215695
-18.737302,0.23622663,0.0019805222
-18.637302,0.26026492,0.0018839844
-18.537302,0.28516826,0.0018340159
-18.437302,0.31364594,0.0023954836
