x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-25.698418,0,0
-25.598418,0,0
-25.498418,0,0
-25.398418,0,0
-25.298418,0,0
-25.198418,0,0
-25.098418,0,0
-24.998418,0,0
-24.898418,0,0
-24.798418,0,0
-24.698418,0,0
-24.598418,0,0
-24.498418,0,0
-24.398418,0,0
-24.298418,0,0
-24.198418,0,0
-24.098418,0,0
-23.998418,0,0
-23.898418,0,0
-23.798418,0,0
-23.698418,0,0
-23.598418,0,0
-23.498418,0,0
-23.398418,0,0
-23.298418,0,0
-23.198418,0,0
-23.098418,0,0
-22.998418,0,0
-22.898418,0,0
-22.798418,0,0
-22.698418,0,0
-22.598418,0,0
-22.498418,5.1050881e-06,5.1050881e-06
-22.398418,0,0
-22.298418,0,0
-22.198418,1.0210176e-05,7.1424667e-06
-22.098418,1.5315264e-05,1.1317755e-05
-21.998418,5.1050881e-05,2.9146318e-05
-21.898418,9.6996673e-05,3.5548925e-05
-21.798418,0.00011741703,3.9283567e-05
-21.698418,0.00031651546,8.2209221e-05
-21.598418,0.00033693581,5.633835e-05
-21.498418,0.0005972953,9.080806e-05
-21.398418,0.00079639374,9.638016e-05
-21.298418,0.0010210176,0.00010223202
-21.198418,0.0020062996,0.00015281011
-21.098418,0.0027771679,0.00020276468
-20.998418,0.0043189045,0.00025101345
-20.898418,0.0060137937,0.00033290931
-20.798418,0.0079792526,0.00039788133
-20.698418,0.011272034,0.00040936178
-20.598418,0.015248898,0.00043521867
-20.498418,0.021175905,0.00050956947
-20.398418,0.028838642,0.00069951757
-20.298418,0.036710688,0.00062884709
-20.198418,0.046231677,0.00072383397
-20.098418,0.057095305,0.00089101906
-19.998418,0.072696454,0.001252896
-19.898418,0.090972669,0.0012176269
-19.798418,0.10609905,0.001156343
-19.698418,0.12739237,0.0014354689
-19.598418,0.14837853,0.0013575509
-19.498418,0.17347089,0.001604174
-19.398418,0.20079332,0.0017205438
-19.298418,0.22561426,0.0023980044
-19.198418,0.25413528,0.0019850805
-19.098418,0.27872766,0.0025697276
-18.998418,0.3121258,0.0024571715
-18.898418,0.33112184,0.0025240346
-18.798418,0.34961685,0.0023975553
-18.698418,0.37234097,0.0028578955
-18.598418,0.39176956,0.002862068
-18.498418,0.4055482,0.0026737242
-18.398418,0.41984755,0.0029864483
-18.298418,0.42955225,0.0028816953
-18.198418,0.43782852,0.0029826804
-18.098418,0.44519941,0.0027142288
-17.998418,0.45005435,0.0026892052
-17.898418,0.45267516,0.0024830697
-17.798418,0.44768559,0.0025408712
-17.698418,0.44699084,0.0024295295
-17.598418,0.44993281,0.0026677731
-17.498418,0.4502435,0.0032796311
-17.398418,0.44799478,0.002657098
-17.298418,0.45338195,0.0024363615
-17.198418,0.45472898,0.0023371204
-17.098418,0.45378617,0.0030051016
-16.998418,0.45603752,0.0032931298
-16.898418,0.45994553,0.0027729646
-16.798418,0.46130086,0.0025506263
-16.698418,0.45748926,0.0025981771
-16.598418,0.46171719,0.0028410994
-16.498418,0.46123266,0.0031686272
-16.398418,0.46306408,0.0027230298
-16.298418,0.46394353,0.0024850264
-16.198418,0.46147673,0.0027057403
-16.098418,0.45700748,0.0032282026
-15.998418,0.46117998,0.0026877502
-15.898418,0.45769327,0.0031108165
-15.798418,0.45258752,0.0022589303
-15.698418,0.45184447,0.0031372637
-15.598418,0.44506485,0.0020193948
-15.498418,0.44586308,0.0026691609
-15.398418,0.43881295,0.0028455903
-15.298418,0.43187932,0.002661327
