x_over_lstar,density_noninteracting,density_before_vortex,density_after_vortex
-5,3.7266532e-06,3.7266532e-06,6.3206471e-06
-4.9444444,4.9123141e-06,4.9123141e-06,8.2904943e-06
-4.8888889,6.4552469e-06,6.4552469e-06,1.0840543e-05
-4.8333333,8.456666e-06,8.456666e-06,1.4131015e-05
-4.7777778,1.1044475e-05,1.1044475e-05,1.8363153e-05
-4.7222222,1.4379725e-05,1.4379725e-05,2.3788811e-05
-4.6666667,1.8664469e-05,1.8664469e-05,3.0722017e-05
-4.6111111,2.4151288e-05,2.4151288e-05,3.9552883e-05
-4.5555556,3.115477e-05,3.115477e-05,5.0764248e-05
-4.5,4.0065297e-05,4.0065297e-05,6.4951487e-05
-4.4444444,5.1365531e-05,5.1365531e-05,8.2845991e-05
-4.3888889,6.5650008e-05,6.5650008e-05,0.00010534286
-4.3333333,8.3648347e-05,8.3648347e-05,0.00013353338
-4.2777778,0.00010625259,0.00010625259,0.00016874296
-4.2222222,0.00013454925,0.00013454925,0.00021257516
-4.1666667,0.00016985668,0.00016985668,0.00026696252
-4.1111111,0.00021376842,0.00021376842,0.00033422503
-4.0555556,0.00026820326,0.00026820326,0.00041713675
-4,0.00033546263,0.00033546263,0.0005190016
-3.9444444,0.00041829611,0.00041829611,0.00064373872
-3.8888889,0.00051997574,0.00051997574,0.00079597821
-3.8333333,0.00064437982,0.00064437982,0.00098116778
-3.7777778,0.00079608669,0.00079608669,0.0012056905
-3.7222222,0.00098047919,0.00098047919,0.0014769944
-3.6666667,0.00120386,0.00120386,0.0018037327
-3.6111111,0.0014735781,0.0014735781,0.0021959162
-3.5555556,0.0017981667,0.0017981667,0.0026650758
-3.5,0.0021874911,0.0021874911,0.0032244339
-3.4444444,0.0026529083,0.0026529083,0.003889085
-3.3888889,0.0032074343,0.0032074343,0.0046761815
-3.3333333,0.0038659201,0.0038659201,0.0056051236
-3.2777778,0.0046452338,0.0046452338,0.0066977486
-3.2222222,0.005564445,0.005564445,0.007978518
-3.1666667,0.0066450113,0.0066450113,0.009474696
-3.1111111,0.0079109597,0.0079109597,0.011216514
-3.0555556,0.0093890621,0.0093890621,0.01323732
-3,0.011108997,0.011108997,0.015573693
-2.9444444,0.013103492,0.013103492,0.01826554
-2.8888889,0.015408446,0.015408446,0.021356136
-2.8333333,0.018063013,0.018063013,0.024892127
-2.7777778,0.021109656,0.021109656,0.028923472
-2.7222222,0.024594144,0.024594144,0.03350332
-2.6666667,0.028565501,0.028565501,0.038687813
-2.6111111,0.033075891,0.033075891,0.044535808
-2.5555556,0.038180434,0.038180434,0.051108511
-2.5,0.043936934,0.043936934,0.058469013
-2.4444444,0.050405533,0.050405533,0.066681728
-2.3888889,0.057648269,0.057648269,0.075811728
-2.3333333,0.065728529,0.065728529,0.085923965
-2.2777778,0.074710413,0.074710413,0.097082398
-2.2222222,0.084657989,0.084657989,0.10934901
-2.1666667,0.095634445,0.095634445,0.12278273
-2.1111111,0.10770115,0.10770115,0.13743828
-2.0555556,0.12091659,0.12091659,0.15336491
-2,0.13533528,0.13533528,0.17060513
-1.9444444,0.15100654,0.15100654,0.18919334
-1.8888889,0.16797324,0.16797324,0.20915448
-1.8333333,0.18627046,0.18627046,0.23050267
-1.7777778,0.20592425,0.20592425,0.25323988
-1.7222222,0.22695019,0.22695019,0.27735469
-1.6666667,0.24935221,0.24935221,0.30282105
-1.6111111,0.27312123,0.27312123,0.3295973
-1.5555556,0.2982341,0.2982341,0.35762523
-1.5,0.32465247,0.32465247,0.38682939
-1.4444444,0.35232195,0.35232195,0.4171166
-1.3888889,0.38117139,0.38117139,0.4483757
-1.3333333,0.41111229,0.41111229,0.48047757
-1.2777778,0.44203862,0.44203862,0.51327547
-1.2222222,0.47382673,0.47382673,0.54660565
-1.1666667,0.50633562,0.50633562,0.58028832
-1.1111111,0.53940751,0.53940751,0.61412887
-1.0555556,0.57286868,0.57286868,0.6479195
-1,0.60653066,0.60653066,0.68144107
-0.94444444,0.64019168,0.64019168,0.71446533
-0.88888889,0.67363846,0.67363846,0.74675729
-0.83333333,0.70664828,0.70664828,0.77807796
-0.77777778,0.7389913,0.7389913,0.80818717
-0.72222222,0.77043309,0.77043309,0.83684659
-0.66666667,0.8007374,0.8007374,0.86382282
-0.61111111,0.82966905,0.82966905,0.88889053
-0.55555556,0.85699689,0.85699689,0.91183556
-0.5,0.8824969,0.8824969,0.93245798
-0.44444444,0.90595519,0.90595519,0.95057496
-0.38888889,0.92717098,0.92717098,0.96602346
-0.33333333,0.94595947,0.94595947,0.97866269
-0.27777778,0.96215449,0.96215449,0.98837623
-0.22222222,0.97561098,0.97561098,0.99507384
-0.16666667,0.98620712,0.98620712,0.9986928
-0.11111111,0.99384617,0.99384617,0.99919895
-0.055555556,0.99845798,0.99845798,0.99658717
0,1,1,0.99088154
0.055555556,0.99845798,0.99845798,0.98213486
0.11111111,0.99384617,0.99384617,0.97042797
0.16666667,0.98620712,0.98620712,0.95586839
0.22222222,0.97561098,0.97561098,0.93858873
0.27777778,0.96215449,0.96215449,0.91874469
0.33333333,0.94595947,0.94595947,0.89651269
0.38888889,0.92717098,0.92717098,0.87208728
0.44444444,0.90595519,0.90595519,0.84567833
0.5,0.8824969,0.8824969,0.81750797
0.55555556,0.85699689,0.85699689,0.78780758
0.61111111,0.82966905,0.82966905,0.75681457
0.66666667,0.8007374,0.8007374,0.72476932
0.72222222,0.77043309,0.77043309,0.69191205
0.77777778,0.7389913,0.7389913,0.65847999
0.83333333,0.70664828,0.70664828,0.62470454
0.88888889,0.67363846,0.67363846,0.59080875
0.94444444,0.64019168,0.64019168,0.55700508
1,0.60653066,0.60653066,0.52349334
1.0555556,0.57286868,0.57286868,0.49045902
1.1111111,0.53940751,0.53940751,0.45807188
1.1666667,0.50633562,0.50633562,0.4264849
1.2222222,0.47382673,0.47382673,0.39583353
1.2777778,0.44203862,0.44203862,0.36623529
1.3333333,0.41111229,0.41111229,0.33778957
1.3888889,0.38117139,0.38117139,0.31057787
1.4444444,0.35232195,0.35232195,0.28466413
1.5,0.32465247,0.32465247,0.26009544
1.5555556,0.2982341,0.2982341,0.23690281
1.6111111,0.27312123,0.27312123,0.21510225
1.6666667,0.24935221,0.24935221,0.19469585
1.7222222,0.22695019,0.22695019,0.17567307
1.7777778,0.20592425,0.20592425,0.15801204
1.8333333,0.18627046,0.18627046,0.14168093
1.8888889,0.16797324,0.16797324,0.12663933
1.9444444,0.15100654,0.15100654,0.11283959
2,0.13533528,0.13533528,0.10022818
2.0555556,0.12091659,0.12091659,0.088746923
2.1111111,0.10770115,0.10770115,0.078334244
2.1666667,0.095634445,0.095634445,0.068926242
2.2222222,0.084657989,0.084657989,0.060457731
2.2777778,0.074710413,0.074710413,0.052863157
2.3333333,0.065728529,0.065728529,0.04607741
2.3888889,0.057648269,0.057648269,0.040036531
2.4444444,0.050405534,0.050405534,0.034678309
2.5,0.043936934,0.043936934,0.029942785
2.5555556,0.038180434,0.038180434,0.025772643
2.6111111,0.033075892,0.033075892,0.02211352
2.6666667,0.028565502,0.028565502,0.018914229
2.7222222,0.024594145,0.024594145,0.016126901
2.7777778,0.021109658,0.021109658,0.013707062
2.8333333,0.018063016,0.018063016,0.011613649
2.8888889,0.015408449,0.015408449,0.0098089726
2.9444444,0.013103496,0.013103497,0.0082586395
3,0.011109003,0.011109004,0.0069314377
3.0555556,0.0093890719,0.0093890725,0.0057991938
3.1111111,0.0079109737,0.0079109745,0.00483661
3.1666667,0.006645031,0.0066450323,0.0040210858
3.2222222,0.0055644729,0.0055644747,0.0033325306
3.2777778,0.0046452731,0.0046452756,0.0027531713
3.3333333,0.0038659753,0.0038659788,0.0022673597
3.3888889,0.0032075114,0.0032075164,0.0018613829
3.4444444,0.0026530158,0.0026530229,0.0015232788
3.5,0.0021876404,0.0021876504,0.0012426596
3.5555556,0.0017983734,0.0017983873,0.0010105448
3.6111111,0.0014738633,0.0014738828,0.00081920505
3.6666667,0.0012042521,0.0012042792,0.00066201632
3.7222222,0.00098101654,0.00098105406,0.00053332689
3.7777778,0.00079682054,0.00079687239,0.00042833544
3.8333333,0.00064537864,0.00064545003,0.00034298094
3.8888889,0.00052133056,0.00052142856,0.00027384385
3.9444444,0.00042012754,0.0004202616,0.0002180581
4,0.00033792988,0.00033811267,0.00017323332
4.0555556,0.00027151571,0.00027176409,0.00013738662
4.1111111,0.00021820034,0.00021853674,0.00010888333
4.1666667,0.00017576602,0.0001762201,8.6385967e-05
4.2222222,0.0001424014,0.00014301229,6.8810826e-05
4.2777778,0.00011665029,0.00011746936,5.529151e-05
4.3333333,9.7369212e-05,9.8463726e-05,4.5148947e-05
4.3888889,8.369341e-05,8.5151077e-05,3.7867338e-05
4.4444444,7.5010822e-05,7.6945592e-05,3.3075658e-05
4.5,7.0943836e-05,7.3503201e-05,3.0534396e-05
4.5555556,7.1338582e-05,7.4712731e-05,3.0127291e-05
4.6111111,7.6261669e-05,8.0694926e-05,3.1857962e-05
4.6666667,8.6004342e-05,9.1809388e-05,3.5851376e-05
4.7222222,0.00010109416,0.00010866963,4.2360239e-05
4.7777778,0.00012231436,0.00013216653,5.1776472e-05
4.8333333,0.00015073109,0.00016350047,6.4648013e-05
4.8888889,0.00018772892,0.0002042227,8.1701319e-05
4.9444444,0.00023505489,0.00025628636,0.00010386996
5,0.00029487143,0.00032210761,0.00013232979
5.0555556,0.00036981852,0.00040463744,0.00016854129
5.1111111,0.00046308534,0.00050744456,0.00021429945
5.1666667,0.00057849147,0.00063480964,0.00027179205
5.2222222,0.00072057773,0.00079183112,0.0003436665
5.2777778,0.00089470625,0.00098454242,0.0004331059
5.3333333,0.0011071693,0.0012200401,0.00054391454
5.3888889,0.0013653058,0.0015066222,0.00068061286
5.4444444,0.0016776242,0.0018539354,0.00084854187
5.5,0.0020539295,0.0022731291,0.0010539764
5.5555556,0.0025054523,0.0027770132,0.0013042461
5.6111111,0.0030449762,0.0033802176,0.0016078636
5.6666667,0.003686959,0.0040993472,0.0019746565
5.7222222,0.0044476438,0.0049531285,0.0024159016
5.7777778,0.0053451541,0.0059625414,0.0029444577
5.8333333,0.0063995648,0.0071509283,0.0035748927
5.8888889,0.0076329443,0.0085440723,0.0043235998
5.9444444,0.0090693571,0.010170237,0.0052088965
6,0.010734819,0.012060153,0.0062511007
6.0555556,0.012657198,0.01424695,0.0074725746
6.1111111,0.014866046,0.016766011,0.0088977288
6.1666667,0.017392356,0.019654745,0.010552977
6.2222222,0.020268242,0.02295227,0.012466633
6.2777778,0.023526517,0.026698984,0.014668737
6.3333333,0.027200178,0.030936036,0.017190805
6.3888889,0.031321792,0.035704658,0.020065489
6.4444444,0.035922772,0.041045392,0.023326147
6.5,0.041032549,0.046997179,0.027006301
6.5555556,0.046677651,0.053596324,0.031138998
6.6111111,0.052880689,0.060875354,0.035756059
6.6666667,0.059659262,0.068861761,0.040887216
6.7222222,0.067024814,0.077576664,0.046559156
6.7777778,0.074981448,0.087033401,0.052794467
6.8333333,0.083524741,0.097236098,0.05961051
6.8888889,0.092640582,0.10817823,0.067018231
6.9444444,0.10230408,0.11984122,0.075020947
7,0.11247859,0.13219315,0.083613124
7.0555556,0.12311487,0.14518759,0.092779198
7.1111111,0.13415047,0.15876264,0.10249246
7.1666667,0.14550935,0.17284017,0.1127141
7.2222222,0.15710181,0.18732549,0.12339234
7.2777778,0.16882471,0.2021072,0.13446189
7.3333333,0.18056218,0.21705762,0.14584358
7.3888889,0.19218655,0.23203356,0.15744436
7.4444444,0.20355988,0.2468776,0.16915764
7.5,0.21453581,0.26141986,0.18086403
7.5555556,0.22496187,0.27548031,0.19243244
7.6111111,0.23468216,0.28887151,0.20372176
7.6666667,0.24354043,0.30140189,0.21458278
7.7222222,0.25138338,0.31287934,0.22486073
7.7777778,0.25806428,0.32311527,0.23439807
7.8333333,0.2634467,0.33192878,0.24303772
7.8888889,0.26740819,0.33915115,0.25062651
7.9444444,0.26984401,0.34463023,0.25701894
8,0.27067057,0.34823479,0.26208091
8.0555556,0.26982858,0.34985859,0.26569358
8.1111111,0.26728572,0.34942417,0.26775702
8.1666667,0.26303876,0.34688596,0.26819365
8.2222222,0.25711499,0.34223284,0.26695133
8.2777778,0.24957284,0.33548986,0.26400586
8.3333333,0.24050174,0.32671913,0.25936292
8.3888889,0.23002098,0.31601963,0.25305928
8.4444444,0.21827772,0.30352611,0.24516314
8.5,0.20544414,0.2894069,0.23577363
8.5555556,0.19171367,0.27386071,0.22501938
8.6111111,0.17729656,0.25711248,0.21305616
8.6666667,0.16241473,0.23940835,0.20006363
8.7222222,0.1472962,0.2210099,0.18624129
8.7777778,0.1321692,0.20218788,0.17180367
8.8333333,0.11725616,0.18321546,0.15697502
8.8888889,0.10276778,0.16436146,0.14198346
8.9444444,0.088897485,0.14588352,0.12705503
9,0.075816332,0.12802166,0.1124076
9.0555556,0.063668659,0.11099238,0.098245127
9.1111111,0.052568646,0.09498346,0.084752149
9.1666667,0.042597914,0.080149756,0.072089051
9.2222222,0.033804262,0.066610076,0.060388068
9.2777778,0.026201631,0.054445296,0.049750292
9.3333333,0.019771294,0.043697772,0.040243785
9.3888889,0.01446424,0.034372079,0.031902888
9.4444444,0.010204676,0.026437049,0.024728767
9.5,0.0068945071,0.019829024,0.018691191
9.5555556,0.00441862,0.014456198,0.013731467
9.6111111,0.0026507696,0.010203871,0.0097664408
9.6666667,0.001459814,0.0069404011,0.0066933862
9.7222222,0.00071605243,0.0045236085,0.004395598
9.7777778,0.00029739704,0.0028073833,0.0027484523
9.8333333,9.5120285e-05,0.0016482133,0.0016256817
9.8888889,1.8934731e-05,0.00091137459,0.00090560102
9.9444444,1.1889122e-06,0.00047653435,0.00047701776
10,6.2779752e-19,0.00024254184,0.00024457384
10.055556,1.1889122e-06,0.00013122096,0.00013328841
10.111111,1.8934731e-05,9.002149e-05,9.2105213e-05
10.166667,9.5120285e-05,9.3436128e-05,9.6290822e-05
10.222222,0.00029739704,0.00014314441,0.00014857984
10.277778,0.00071605243,0.00026689961,0.00027901809
10.333333,0.001459814,0.00051622818,0.0005435116
10.388889,0.0026507696,0.00096306154,0.0010211457
10.444444,0.00441862,0.0016954633,0.0018103921
10.5,0.0068945071,0.0028126512,0.0030243703
10.555556,0.010204676,0.0044195402,0.0047853682
10.611111,0.01446424,0.0066210469,0.0072188605
10.666667,0.019771294,0.0095164038,0.01044728
10.722222,0.026201631,0.013193723,0.014583809
10.777778,0.033804262,0.017725033,0.019726448
10.833333,0.042597914,0.023161991,0.025952615
10.888889,0.052568646,0.029532435,0.033314488
10.944444,0.063668659,0.036837893,0.041835287
11,0.075816332,0.04505215,0.051506631
11.055556,0.088897485,0.054120887,0.06228707
11.111111,0.10276778,0.063962405,0.074101842
11.166667,0.11725616,0.07446936,0.086843847
11.222222,0.1321692,0.085511435,0.10037579
11.277778,0.1472962,0.096938811,0.11453337
11.333333,0.16241473,0.10858629,0.12912946
11.388889,0.17729656,0.12027791,0.14395895
11.444444,0.19171367,0.1318318,0.15880426
11.5,0.20544414,0.14306525,0.1734411
11.555556,0.21827772,0.15379957,0.18764447
11.611111,0.23002098,0.16386484,0.20119456
11.666667,0.24050174,0.17310414,0.2138823
11.722222,0.24957284,0.18137735,0.22551458
11.777778,0.25711499,0.18856427,0.23591879
11.833333,0.26303876,0.19456705,0.24494663
11.888889,0.26728572,0.19931189,0.25247712
11.944444,0.26982858,0.20274994,0.25841869
12,0.27067057,0.20485751,0.26271038
12.055556,0.26984401,0.20563552,0.2653222
12.111111,0.26740819,0.20510835,0.2662545
12.166667,0.2634467,0.20332214,0.2655367
12.222222,0.25806428,0.20034251,0.26322525
12.277778,0.25138338,0.19625208,0.25940097
12.333333,0.24354043,0.19114758,0.25416602
12.388889,0.23468216,0.18513689,0.24764043
12.444444,0.22496187,0.17833597,0.23995847
12.5,0.21453581,0.17086587,0.23126493
12.555556,0.20355988,0.16284985,0.22171138
12.611111,0.19218655,0.15441065,0.21145259
12.666667,0.18056218,0.14566812,0.20064319
12.722222,0.16882471,0.136737,0.18943458
12.777778,0.15710181,0.12772518,0.17797224
12.833333,0.14550935,0.11873218,0.16639337
12.888889,0.13415047,0.10984804,0.15482503
12.944444,0.12311487,0.10115257,0.14338262
13,0.11247859,0.092714855,0.1321689
13.055556,0.10230408,0.084593123,0.12127325
13.111111,0.092640582,0.07683485,0.11077148
13.166667,0.083524741,0.069477099,0.10072587
13.222222,0.074981448,0.062547063,0.091185508
13.277778,0.067024813,0.056062752,0.08218695
