x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-28.131073,0,0
-28.031073,0,0
-27.931073,0,0
-27.831073,0,0
-27.731073,0,0
-27.631073,0,0
-27.531073,0,0
-27.431073,0,0
-27.331073,0,0
-27.231073,0,0
-27.131073,0,0
-27.031073,0,0
-26.931073,0,0
-26.831073,0,0
-26.731073,0,0
-26.631073,0,0
-26.531073,0,0
-26.431073,0,0
-26.331073,0,0
-26.231073,0,0
-26.131073,0,0
-26.031073,0,0
-25.931073,0,0
-25.831073,0,0
-25.731073,0,0
-25.631073,0,0
-25.531073,0,0
-25.431073,0,0
-25.331073,0,0
-25.231073,0,0
-25.131073,0,0
-25.031073,0,0
-24.931073,0,0
-24.831073,0,0
-24.731073,0,0
-24.631073,1.5456636e-05,1.0901996e-05
-24.531073,1.288053e-05,7.6937198e-06
-24.431073,1.5456636e-05,1.0901996e-05
-24.331073,2.8337166e-05,1.0457019e-05
-24.231073,8.7587603e-05,3.2485e-05
-24.131073,6.6978755e-05,2.0107596e-05
-24.031073,0.00015199025,3.158717e-05
-23.931073,0.00023184954,3.7558425e-05
-23.831073,0.00019836016,3.1349789e-05
-23.731073,0.0006053849,7.1424534e-05
-23.631073,0.00083981055,7.334773e-05
-23.531073,0.0012829008,0.00010095109
-23.431073,0.0018805574,0.00011725837
-23.331073,0.0029290325,0.00013986843
-23.231073,0.0040058448,0.00017901657
-23.131073,0.005518019,0.00018585861
-23.031073,0.007851971,0.00023059448
-22.931073,0.010868591,0.00026464979
-22.831073,0.014652891,0.00032166514
-22.731073,0.019606743,0.00040614889
-22.631073,0.025611394,0.00044227789
-22.531073,0.034074154,0.00048408805
-22.431073,0.042528399,0.00052105277
-22.331073,0.054552877,0.00066988645
-22.231073,0.065817309,0.00069073085
-22.131073,0.082706322,0.00074234708
-22.031073,0.099931141,0.00083425926
-21.931073,0.11958457,0.00098389794
-21.831073,0.14147691,0.0011442769
-21.731073,0.16287135,0.0010625378
-21.631073,0.18801389,0.0011749886
-21.531073,0.21206489,0.0012566803
-21.431073,0.23926087,0.0013921487
-21.331073,0.26611024,0.0015504029
-21.231073,0.28855547,0.0015349352
-21.131073,0.31361404,0.0014651088
-21.031073,0.33295655,0.0017025634
-20.931073,0.35605181,0.0016314155
-20.831073,0.37579452,0.0017837483
-20.731073,0.3907933,0.0018582117
-20.631073,0.40051772,0.0019011229
-20.531073,0.41346422,0.0018381228
-20.431073,0.4214384,0.0019528859
-20.331073,0.42477012,0.0018729003
-20.231073,0.42652445,0.0017370912
-20.131073,0.42721089,0.0019195441
-20.031073,0.41876676,0.0019056639
-19.931073,0.41484213,0.0018316635
-19.831073,0.41705374,0.0019764651
-19.731073,0.40152941,0.001904728
-19.631073,0.39588318,0.0018370312
-19.531073,0.38553314,0.0017380551
-19.431073,0.37784017,0.0016605226
-19.331073,0.36798628,0.0016383468
-19.231073,0.35933666,0.0016866399
-19.131073,0.35101693,0.0017848958
-19.031073,0.34299993,0.0017451843
-18.931073,0.3362467,0.0016837207
-18.831073,0.33282538,0.0016544515
-18.731073,0.32428371,0.0017015865
-18.631073,0.3180222,0.0015517886
-18.531073,0.32016709,0.0015265032
-18.431073,0.3183345,0.0016816842
-18.331073,0.31416316,0.0017385253
-18.231073,0.31134638,0.0014619209
-18.131073,0.31274413,0.0016790775
-18.031073,0.31119712,0.0015793015
-17.931073,0.31336743,0.0015024155
-17.831073,0.31267555,0.0016461871
-17.731073,0.31399487,0.0014878116
-17.631073,0.3179238,0.0018269683
-17.531073,0.31648719,0.0015508309
-17.431073,0.32017648,0.00145342
-17.331073,0.32139394,0.0014886712
-17.231073,0.32255863,0.0015922688
-17.131073,0.3287333,0.0018221706
-17.031073,0.32933514,0.0015936266
-16.931073,0.33027548,0.0015734194
-16.831073,0.32995802,0.0016376927
-16.731073,0.33324388,0.001608139
-16.631073,0.3341261,0.0015324243
-16.531073,0.33347158,0.0016494078
-16.431073,0.33336728,0.0014249052
-16.331073,0.33882548,0.0016701044
-16.231073,0.3393145,0.001549481
-16.131073,0.34009761,0.0016405751
-16.031073,0.33929653,0.001679799
-15.931073,0.33932056,0.0016347701
-15.831073,0.33711916,0.001624171
-15.731073,0.33545439,0.0016206187
-15.631073,0.3378382,0.0016375314
-15.531073,0.33870761,0.0015619373
-15.431073,0.33731227,0.0017330332
-15.331073,0.33667641,0.0016051685
-15.231073,0.33707875,0.0016848714
-15.131073,0.33778828,0.0017332267
-15.031073,0.33820929,0.0016227646
-14.931073,0.33664499,0.0016350005
-14.831073,0.33594316,0.001535467
-14.731073,0.33296104,0.0017342629
-14.631073,0.33398868,0.0016011196
-14.531073,0.3315603,0.0016416859
-14.431073,0.32951719,0.0016148213
-14.331073,0.33159146,0.0016744307
-14.231073,0.33047051,0.0017856364
-14.131073,0.32888394,0.0015913374
-14.031073,0.32946903,0.0016686537
-13.931073,0.32939184,0.0014948539
-13.831073,0.3248863,0.0015769311
-13.731073,0.32614695,0.0017067903
-13.631073,0.32144503,0.0014832324
-13.531073,0.32001463,0.001734499
-13.431073,0.32114551,0.0016407728
-13.331073,0.31822156,0.0016097447
-13.231073,0.32114947,0.001526516
-13.131073,0.31830469,0.0016124755
-13.031073,0.31831946,0.001491703
-12.931073,0.31718641,0.0016363624
-12.831073,0.31311773,0.0016266119
-12.731073,0.31552661,0.0014179055
-12.631073,0.31424311,0.0016769071
-12.531073,0.3166169,0.0015408842
-12.431073,0.31713599,0.0016252868
-12.331073,0.31653538,0.001674928
-12.231073,0.3197874,0.0016472645
-12.131073,0.32317714,0.0016511962
-12.031073,0.3241494,0.0016254877
-11.931073,0.32951301,0.0016050566
-11.831073,0.33416628,0.0017083793
-11.731073,0.33686896,0.0016234686
-11.631073,0.33910659,0.0018815877
-11.531073,0.34891181,0.0016354876
-11.431073,0.35358584,0.0017199511
-11.331073,0.3602168,0.0016163044
-11.231073,0.36309334,0.0017577496
-11.131073,0.37304471,0.0015207399
-11.031073,0.37869835,0.0016715363
-10.931073,0.38210972,0.0018488709
-10.831073,0.39414271,0.0019849396
-10.731073,0.40084275,0.0018899937
-10.631073,0.4049458,0.0019300758
-10.531073,0.41419395,0.0017074339
-10.431073,0.41954317,0.0016870981
-10.331073,0.41854283,0.0018700717
-10.231073,0.42665847,0.0018387734
-10.131073,0.43047259,0.0017907635
-10.031073,0.4343904,0.002020805
-9.931073,0.43147409,0.0019248236
-9.831073,0.43329097,0.0019911448
-9.731073,0.43482617,0.0020187447
-9.631073,0.43006085,0.0019204295
-9.531073,0.43381769,0.0019386893
-9.431073,0.4279454,0.0018067535
-9.331073,0.42683924,0.00187225
-9.231073,0.42263428,0.0017606228
-9.131073,0.41453984,0.0018801419
-9.031073,0.40793524,0.0017071294
-8.931073,0.40261659,0.0018896521
