x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-26.198457,0,0
-26.098457,0,0
-25.998457,0,0
-25.898457,0,0
-25.798457,0,0
-25.698457,0,0
-25.598457,0,0
-25.498457,0,0
-25.398457,0,0
-25.298457,0,0
-25.198457,0,0
-25.098457,0,0
-24.998457,0,0
-24.898457,0,0
-24.798457,0,0
-24.698457,0,0
-24.598457,0,0
-24.498457,0,0
-24.398457,0,0
-24.298457,0,0
-24.198457,0,0
-24.098457,0,0
-23.998457,0,0
-23.898457,0,0
-23.798457,0,0
-23.698457,0,0
-23.598457,0,0
-23.498457,0,0
-23.398457,0,0
-23.298457,0,0
-23.198457,7.7283179e-06,7.7283179e-06
-23.098457,0,0
-22.998457,0,0
-22.898457,0,0
-22.798457,0,0
-22.698457,2.576106e-05,1.742039e-05
-22.598457,0,0
-22.498457,2.8337166e-05,1.423814e-05
-22.398457,5.6674331e-05,1.9934366e-05
-22.298457,0.00010304424,2.7086228e-05
-22.198457,0.00011077256,2.5794049e-05
-22.098457,0.00017517521,3.7857348e-05
-21.998457,0.00035292652,4.9350415e-05
-21.898457,0.00045854686,5.2520875e-05
-21.798457,0.00081662559,7.7930108e-05
-21.698457,0.001385945,0.00010429173
-21.598457,0.0016693167,0.00010504683
-21.498457,0.0029135759,0.00016482375
-21.398457,0.0039929643,0.0001696161
-21.298457,0.0057575969,0.00020522703
-21.198457,0.0083955294,0.0002530075
-21.098457,0.011404421,0.00026803244
-20.998457,0.015876541,0.00034446258
-20.898457,0.021211657,0.00040703327
-20.798457,0.027080026,0.00038546351
-20.698457,0.036828011,0.00051086561
-20.598457,0.046202492,0.00054592126
-20.498457,0.058236331,0.00066047319
-20.398457,0.072749233,0.00067507424
-20.298457,0.091107129,0.0008328123
-20.198457,0.10843553,0.00093092671
-20.098457,0.12941068,0.0009376576
-19.998457,0.15073167,0.0010891018
-19.898457,0.17625811,0.0011327039
-19.798457,0.19997192,0.0011955783
-19.698457,0.22995186,0.0013950895
-19.598457,0.25370089,0.0014363962
-19.498457,0.28140292,0.0014814953
-19.398457,0.30615939,0.0016005003
-19.298457,0.33001102,0.0016747137
-19.198457,0.34949923,0.0016013416
-19.098457,0.37395106,0.0019259773
-18.998457,0.39147377,0.0018904388
-18.898457,0.40931874,0.0018815088
-18.798457,0.42328384,0.0018214213
-18.698457,0.4300027,0.0018519158
-18.598457,0.43672511,0.0017762167
-18.498457,0.44192872,0.0019654541
-18.398457,0.44228193,0.0019486405
-18.298457,0.44704091,0.001907126
-18.198457,0.4503709,0.0019576469
-18.098457,0.44821988,0.0019145843
-17.998457,0.45045123,0.0018616943
-17.898457,0.45383743,0.0017376806
-17.798457,0.44914885,0.0018787042
-17.698457,0.44849883,0.0016565213
-17.598457,0.4499722,0.0018865258
-17.498457,0.44964032,0.001767171
-17.398457,0.44959191,0.0017753968
-17.298457,0.4536123,0.0019002929
-17.198457,0.45416453,0.0018794818
-17.098457,0.45196026,0.0018139292
-16.998457,0.45268892,0.0019203687
-16.898457,0.4560918,0.001858661
-16.798457,0.45698911,0.0019616764
-16.698457,0.45624957,0.0018205836
-16.598457,0.45696542,0.0020088498
-16.498457,0.45180771,0.0019506753
-16.398457,0.45023804,0.0018028578
-16.298457,0.44964962,0.0020524484
-16.198457,0.44219076,0.0019237118
-16.098457,0.44133914,0.001988848
-15.998457,0.44013675,0.0019419456
-15.898457,0.43120778,0.0017708667
-15.798457,0.43098014,0.0016036364
-15.698457,0.42611922,0.001851833
-15.598457,0.42314526,0.0017686684
-15.498457,0.41528126,0.0017226191
-15.398457,0.41306483,0.001951359
-15.298457,0.40654119,0.0018708919
-15.198457,0.40530573,0.0017528702
-15.098457,0.40189622,0.0017937201
-14.998457,0.39829705,0.0017811195
-14.898457,0.39864398,0.0017071937
-14.798457,0.39552328,0.0019611406
-14.698457,0.39248746,0.0017219841
-14.598457,0.39375274,0.001792149
-14.498457,0.39601456,0.0018923778
