x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-25.698418,0,0
-25.598418,0,0
-25.498418,0,0
-25.398418,0,0
-25.298418,0,0
-25.198418,0,0
-25.098418,0,0
-24.998418,0,0
-24.898418,0,0
-24.798418,0,0
-24.698418,0,0
-24.598418,0,0
-24.498418,0,0
-24.398418,0,0
-24.298418,0,0
-24.198418,0,0
-24.098418,0,0
-23.998418,0,0
-23.898418,0,0
-23.798418,0,0
-23.698418,0,0
-23.598418,0,0
-23.498418,0,0
-23.398418,0,0
-23.298418,0,0
-23.198418,0,0
-23.098418,0,0
-22.998418,0,0
-22.898418,0,0
-22.798418,0,0
-22.698418,0,0
-22.598418,1.5315264e-05,1.1317755e-05
-22.498418,0,0
-22.398418,0,0
-22.298418,0,0
-22.198418,1.0210176e-05,7.1424667e-06
-22.098418,8.6786497e-05,4.2222583e-05
-21.998418,4.0840704e-05,1.8361413e-05
-21.898418,0.00013783738,4.4324096e-05
-21.798418,7.6576321e-05,3.5859537e-05
-21.698418,0.00027056967,5.8931231e-05
-21.598418,0.00031651546,6.1025262e-05
-21.498418,0.00047477319,9.1828202e-05
-21.398418,0.00079128865,0.00011518566
-21.298418,0.0014141094,0.00014152142
-21.198418,0.00202672,0.00016633469
-21.098418,0.0029201104,0.00016586898
-20.998418,0.0042423282,0.00024990092
-20.898418,0.0056972783,0.00033818754
-20.798418,0.008173246,0.00032065359
-20.698418,0.012017377,0.00045446815
-20.598418,0.015601149,0.00041333039
-20.498418,0.02059903,0.00055872995
-20.398418,0.027975883,0.00063389228
-20.298418,0.035766247,0.00076211652
-20.198418,0.045971318,0.00082396487
-20.098418,0.058269475,0.0010217375
-19.998418,0.071721382,0.0011504971
-19.898418,0.088042349,0.0011326796
-19.798418,0.10626241,0.0012139706
-19.698418,0.1278263,0.0013224946
-19.598418,0.15232051,0.0016053667
-19.498418,0.17490032,0.0016097669
-19.398418,0.20004798,0.0020456203
-19.298418,0.22540391,0.0018218268
-19.198418,0.25740875,0.0020593835
-19.098418,0.28048375,0.0022309281
-18.998418,0.30559123,0.0022962227
-18.898418,0.33118421,0.0024446651
-18.798418,0.35204655,0.0027097059
-18.698418,0.3725152,0.0025020258
-18.598418,0.39396128,0.0027019789
-18.498418,0.41132716,0.0027312791
-18.398418,0.42253531,0.0028125988
-18.298418,0.43351675,0.0029749749
-18.198418,0.43614246,0.0024026928
-18.098418,0.44501413,0.00263931
-17.998418,0.44444563,0.0024212019
-17.898418,0.4498027,0.0029531671
-17.798418,0.45098858,0.0028112274
-17.698418,0.45262732,0.0026967267
-17.598418,0.45129626,0.0027144898
-17.498418,0.45057743,0.0028663859
-17.398418,0.44720794,0.0025196291
-17.298418,0.44989361,0.0019637427
-17.198418,0.45399659,0.002620161
-17.098418,0.45642033,0.0031623092
-16.998418,0.45489712,0.0027440069
-16.898418,0.46124235,0.0029034941
-16.798418,0.46205642,0.0024379381
-16.698418,0.45907589,0.0025012242
-16.598418,0.46307743,0.0033235431
-16.498418,0.46274528,0.0026504197
-16.398418,0.46603838,0.0029969598
-16.298418,0.46069512,0.002893424
-16.198418,0.46246626,0.0027294613
-16.098418,0.46313869,0.0025840042
-15.998418,0.45631064,0.0029414949
-15.898418,0.45677317,0.0026208025
-15.798418,0.45742388,0.0028700482
-15.698418,0.44954384,0.0025615492
-15.598418,0.44581294,0.0027623203
-15.498418,0.44170511,0.0024759527
-15.398418,0.43875418,0.0035148414
-15.298418,0.43352408,0.00242914
