x_over_lB,density_mean_2pi_rho_lB2,density_stderr
-25.698418,0,0
-25.598418,0,0
-25.498418,0,0
-25.398418,0,0
-25.298418,0,0
-25.198418,0,0
-25.098418,0,0
-24.998418,0,0
-24.898418,0,0
-24.798418,0,0
-24.698418,0,0
-24.598418,0,0
-24.498418,0,0
-24.398418,0,0
-24.298418,0,0
-24.198418,0,0
-24.098418,0,0
-23.998418,0,0
-23.898418,0,0
-23.798418,0,0
-23.698418,0,0
-23.598418,0,0
-23.498418,0,0
-23.398418,0,0
-23.298418,0,0
-23.198418,0,0
-23.098418,0,0
-22.998418,0,0
-22.898418,0,0
-22.798418,0,0
-22.698418,0,0
-22.598418,0,0
-22.498418,0,0
-22.398418,1.0210176e-05,1.0210176e-05
-22.298418,1.0210176e-05,1.0210176e-05
-22.198418,5.6155969e-05,3.6654814e-05
-22.098418,3.5735616e-05,2.526341e-05
-21.998418,5.1050881e-05,2.1837531e-05
-21.898418,0.00011231194,3.9934546e-05
-21.798418,0.00012252211,3.9290624e-05
-21.698418,0.00021951879,5.1714573e-05
-21.598418,0.00024504423,4.4976093e-05
-21.498418,0.00058198004,0.00010983578
-21.398418,0.00077597339,0.00011216372
-21.298418,0.001220116,0.00012752288
-21.198418,0.001853147,0.00015215553
-21.098418,0.0026903814,0.00016549246
-20.998418,0.0038747618,0.00025833257
-20.898418,0.0062282074,0.00031566288
-20.798418,0.0077239982,0.00025358381
-20.698418,0.010741105,0.00038207625
-20.598418,0.015769617,0.00052519096
-20.498418,0.021553682,0.00052531606
-20.398418,0.026720031,0.00068314736
-20.298418,0.03504643,0.00072218312
-20.198418,0.046553298,0.00090687409
-20.098418,0.057764071,0.00092757154
-19.998418,0.072328888,0.0010170213
-19.898418,0.089665767,0.0010893384
-19.798418,0.10800835,0.0014863658
-19.698418,0.12523802,0.0014188182
-19.598418,0.15030911,0.0014819271
-19.498418,0.17454296,0.0016156993
-19.398418,0.20245699,0.0019758065
-19.298418,0.22817702,0.0022048106
-19.198418,0.25067514,0.0020947326
-19.098418,0.27660728,0.0016501267
-18.998418,0.30492711,0.0021420487
-18.898418,0.3282226,0.0022269559
-18.798418,0.35596758,0.002120079
-18.698418,0.37356803,0.0020461683
-18.598418,0.39429861,0.0030097572
-18.498418,0.40763179,0.0024870268
-18.398418,0.42163328,0.0028226081
-18.298418,0.42616634,0.0025198011
-18.198418,0.44151328,0.0021212008
-18.098418,0.44024237,0.0029792504
-17.998418,0.44606551,0.0032606118
-17.898418,0.44987057,0.0023224556
-17.798418,0.45207008,0.0022742347
-17.698418,0.45341494,0.0025386859
-17.598418,0.45662231,0.0027690904
-17.498418,0.45316623,0.0029681779
-17.398418,0.45110633,0.0027602912
-17.298418,0.45496126,0.0025994476
-17.198418,0.45303062,0.0026675675
-17.098418,0.45135982,0.0027050372
-16.998418,0.45569633,0.0028029943
-16.898418,0.45649697,0.0025535032
-16.798418,0.46064211,0.0033203141
-16.698418,0.46105176,0.0027680939
-16.598418,0.45883602,0.0029480411
-16.498418,0.46156947,0.0029867382
-16.398418,0.45781409,0.002692532
-16.298418,0.45508287,0.0025049279
-16.198418,0.46498471,0.0022898796
-16.098418,0.45937579,0.0023552858
-15.998418,0.46240107,0.0029728768
-15.898418,0.46034078,0.0027835764
-15.798418,0.45331578,0.0031428103
-15.698418,0.45194913,0.0022241979
-15.598418,0.44854521,0.0028117265
-15.498418,0.44173306,0.0026985195
-15.398418,0.4369382,0.0025523555
-15.298418,0.43666246,0.00234258
