x,y_mean,y_stderr,y_plotted,y_plotted_stderr
0,9.8601862,0.038335008,1,0.0038878584
0.0016671298,9.8601641,0.036987328,0.99999776,0.0037511795
0.0055570992,9.7807507,0.040332888,0.99194381,0.0040904793
0.011669908,9.7326469,0.034331653,0.98706522,0.0034818463
0.020005557,9.6698133,0.042901016,0.98069277,0.0043509337
0.030564046,9.6504431,0.040931435,0.97872828,0.0041511828
0.043345374,9.6506437,0.03576194,0.97874863,0.0036269031
0.058349542,9.5341003,0.041477359,0.96692903,0.0042065493
0.075576549,9.4045059,0.040751567,0.95378583,0.0041329409
0.095026396,9.2599474,0.033537109,0.939125,0.0034012653
0.11669908,9.0507202,0.038581802,0.91790561,0.0039128878
0.14059461,8.9135653,0.036902561,0.90399564,0.0037425826
0.16671298,8.7094566,0.032898126,0.88329535,0.0033364609
0.19505418,8.5231522,0.031173108,0.86440074,0.0031615131
0.22561823,8.3120626,0.029662129,0.84299246,0.0030082727
0.25840511,8.0558932,0.032719907,0.81701228,0.0033183863
0.29341484,7.7702156,0.033310259,0.78803944,0.0033782586
0.3306474,7.5414554,0.030169533,0.76483905,0.0030597326
0.37010281,7.2142376,0.021121248,0.73165328,0.0021420739
0.41178105,6.8868402,0.023840671,0.69844931,0.0024178723
0.45568213,6.5378902,0.022946536,0.66305951,0.0023271909
0.50180606,6.1556258,0.018726981,0.62429103,0.0018992523
0.55015282,5.7290745,0.021216515,0.58103107,0.0021517357
0.60072242,5.2981116,0.017362424,0.53732369,0.0017608617
0.65351487,4.8075309,0.015468971,0.48756999,0.0015688315
0.70853015,4.2763134,0.013331222,0.43369499,0.0013520254
0.76576827,3.6566571,0.0078528625,0.37085071,0.00079642132
0.82522923,2.9477747,0.0075198019,0.29895731,0.00076264299
0.88691303,2.2484375,0.0060599752,0.22803195,0.00061459034
0.95081967,1,0,0.10141796,0
